name|surname|institution|author_id|article_eid|year|num_aut|num_cit|article_refs|num_ref_in_citing|citing_years
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-105003427917|2025|10|0|61|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85189512223|2024|6|5|104|0.03398138038298387|[2025, 2025, 2025, 2025, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85183353350|2024|9|1|50|0.02|[2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85198422402|2024|5|0|39|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85192070642|2024|8|3|50|0.08327702702702702|[2025, 'doi not found or an error occurred.', 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85193097116|2024|12|6|56|0.10601170202673962|[2024, 2025, 2025, 2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85214132782|2024|9|0|88|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85208415140|2024|7|0|37|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85166786100|2023|8|13|91|0.21479299020968157|[2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85176363418|2023|8|7|95|0.10851355611868775|[2025, 2025, 2024, 2024, 2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85168553543|2023|8|3|142|0.07087173579109063|[2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85151415220|2023|8|3|55|0.0925032175032175|[2025, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85151406348|2023|6|4|94|0.04044002333937574|[2024, 2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85175816416|2023|4|0|32|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85175815313|2023|7|0|32|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85175809332|2023|4|0|32|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85133476732|2022|5|1|6|0.027777777777777776|[2023]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85153984904|2022|8|2|88|0.04759358288770053|[2024, 2023]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85123649111|2022|12|10|48|0.14177531685913625|[2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2023]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85093977580|2020|12|63|70|0.42529824041289344|[2025, 2025, 2025, 2024, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2024, 2024, 2024, 2025, 2024, 2024, 2024]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85084940809|2020|7|58|114|0.7842510909720204|[2024, 2024, 2025, 2025, 2024, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 'doi not found or an error occurred.', 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85091198718|2020|10|56|45|0.8993758757856136|[2025, 2025, 2024, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2022, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2018, 2018, 2018]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85082135857|2020|4|0|21|0.0|[]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85063082146|2019|6|10|58|0.20064829750434318|[2024, 2024, 2024, 2023, 2022, 2022, 2021, 2020, 2019, 2019]
gabriele|arnulfo|dipartimento di informatica, bioingegneria, robotica e ingegneria dei sistemi|36944046300|2-s2.0-85052972502|2018|10|16|61|0.2118193378062286|[2025, 2025, 2025, 2025, 2024, 2024, 2024, 2023, 2022, 2022, 2022, 2022, 2021, 2020, 2020, 2020]
