name|surname|institution|author_id|article_eid|year|num_aut|num_cit|article_refs|num_ref_in_citing|citing_years
pasquale|vena|milano|57202618513|2-s2.0-105001280311|2025|8|0|26|0.0|[]
pasquale|vena|milano|57202618513|2-s2.0-105003111692|2025|4|1|45|0.006289308176100629|[2025]
pasquale|vena|milano|57202618513|2-s2.0-105002305126|2025|7|0|159|0.0|[]
pasquale|vena|milano|57202618513|2-s2.0-85216706659|2025|10|2|43|0.038461538461538464|[2025, 2025]
pasquale|vena|milano|57202618513|2-s2.0-105003435285|2025|4|0|52|0.0|[]
pasquale|vena|milano|57202618513|2-s2.0-85181935186|2024|7|1|41|0.006289308176100629|[2025]
pasquale|vena|milano|57202618513|2-s2.0-85185402438|2024|5|16|52|0.22409764678529365|[2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024]
pasquale|vena|milano|57202618513|2-s2.0-85177602542|2024|7|8|34|0.13065120558861362|[2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024]
pasquale|vena|milano|57202618513|2-s2.0-85150880547|2023|9|19|35|0.3295578482619562|[2025, 2025, 2025, 2025, 2025, 2025, 2024, 2025, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2024, 2024, 2023, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85145661037|2023|6|7|14|0.1433299745145453|[2025, 2025, 2025, 2024, 2024, 2024, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85146193410|2023|9|2|24|0.045|[2025, 2024]
pasquale|vena|milano|57202618513|2-s2.0-85138724992|2022|7|6|33|0.11772941512019475|[2025, 2025, 2024, 2024, 2024, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85127762236|2022|8|15|60|0.2315575368547858|[2025, 2024, 2024, 2024, 2023, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85131124361|2022|6|7|35|0.05425779342197715|[2025, 2025, 2024, 2024, 2024, 2023, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85112102761|2021|6|10|33|0.11563425889274681|[2025, 2024, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022]
pasquale|vena|milano|57202618513|2-s2.0-85102758599|2021|7|14|31|0.3736311497516559|[2025, 2025, 2024, 2024, 2024, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2021]
pasquale|vena|milano|57202618513|2-s2.0-85096375280|2021|8|4|43|0.061669734958066685|[2025, 2023, 2023, 2022]
pasquale|vena|milano|57202618513|2-s2.0-85090342750|2020|6|7|43|0.17938664145560698|[2025, 2025, 2024, 2023, 2023, 2023, 2023]
pasquale|vena|milano|57202618513|2-s2.0-85090041970|2020|7|11|47|0.23438297249626977|[2025, 2024, 2024, 2023, 2023, 2023, 2022, 2022, 2022, 2021, 2021]
pasquale|vena|milano|57202618513|2-s2.0-85082166684|2020|7|8|31|0.12575573215039332|[2023, 2023, 2023, 2023, 2023, 2023, 2022, 2020]
pasquale|vena|milano|57202618513|2-s2.0-85065652085|2019|2|6|22|0.10021861674973967|[2025, 2024, 2023, 2022, 2021, 2021]
