name|surname|institution|author_id|article_eid|year|num_aut|num_cit|article_refs|num_ref_in_citing|citing_years
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-105015149442|2026|10|1|684|0.006896551724137931|[2025]
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-105012855707|2026|5|0|58|0.0|[]
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-105010703337|2026|7|0|145|0.0|[]
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-85219133958|2025|7|0|37|0.0|[]
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-105003135149|2025|7|2|151|0.015289806795469686|[2025, 2025]
naoufel|werghi|khalifa university of science and technology|6603290473|2-s2.0-105008498353|2025|9|0|76|0.0|[]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85212873830|2025|3|2|29|0.030877192982456142|[2025, 2025]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85214407655|2025|5|5|82|0.0915592725182483|[2025, 2025, 2025, 2025, 2025]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85174802070|2025|6|0|41|0.0|[]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85186241019|2024|3|1|85|0.010309278350515464|[2025]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85215007887|2024|6|0|15|0.0|[]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85214994506|2024|6|0|12|0.0|[]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85171777443|2023|4|10|89|0.15491477959880431|[2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85172166790|2023|7|20|55|0.6859387168017113|[2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85159955014|2023|6|6|275|0.09458627598682554|[2025, 2024, 2024, 2024, 2024, 2023]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85179647765|2023|7|3|28|0.08992248062015504|[2025, 2024, 2024]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85084694438|2020|5|1|39|0.023255813953488372|[2022]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85075253247|2019|5|21|78|0.5132428410496874|[2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2023, 2023, 2023, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85064072028|2019|6|10|63|0.08203125365276898|[2025, 2024, 2024, 2024, 2024, 2024, 2022, 2022, 2022, 2020]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85057370636|2018|9|15|57|0.6229108094706574|[2025, 2025, 2024, 2024, 2024, 2022, 2022, 2021, 2021, 2021, 2020, 2018, 2018, 2018]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85054824322|2018|4|44|54|1.1062290918733222|[2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2018]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-85009376177|2017|5|26|52|0.5728766299909245|[2025, 2025, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2021, 2020, 2020, 2019, 2019, 2018, 2018, 2018, 2018]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-84938751689|2015|3|15|24|0.4030112186995147|[2025, 2024, 2022, 2022, 2022, 2022, 2022, 2021, 2019, 2019, 2018, 2017, 2017, 2017, 2016]
angus j.c.|mcmorland|auckland bioengineering institute|6504219838|2-s2.0-84933676163|2015|3|96|48|1.9165715827183953|[2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2018, 2017, 2017, 2017, 2017, 2017, 2017, 2017, 2016, 2015]
