name|surname|institution|author_id|article_eid|year|num_aut|num_cit|article_refs|num_ref_in_citing|citing_years
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85205440008|2025|10|2|58|0.03704974271012007|[2025, 2024]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85203557517|2024|4|0|51|0.0|[]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85175349557|2023|8|7|48|0.10822396544736711|[2025, 2025, 2025, 2024, 2024, 2024, 2024]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85169001253|2023|3|1|45|0.02702702702702703|[2024]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85169532694|2023|7|8|61|0.14778894822587313|[2024, 2025, 2025, 2025, 2025, 2024, 2024, 2024]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85180364928|2023|6|0|37|0.0|[]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85167456945|2023|7|0|37|0.0|[]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85180373266|2023|7|0|37|0.0|[]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85128172525|2022|4|10|21|0.1983986737008918|[2025, 2025, 2025, 2024, 2024, 2023, 2023, 2023, 2022, 2022]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85077226981|2020|4|22|19|0.5087968865418929|[2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2022, 2021, 2021, 2021, 2021, 2020, 2021, 2020, 2020, 2020]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85071833181|2019|3|66|18|0.9787148886610763|[2025, 2025, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2021, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85069176565|2019|5|54|31|1.1630484007932642|[2025, 2025, 2025, 2025, 2025, 2025, 2024, 2025, 2025, 2024, 2024, 2024, 'doi not found or an error occurred.', 2024, 2023, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85054183873|2019|4|4|31|0.08479250610001215|[2025, 2025, 2022, 2019]
joão teixeira oliveira de|menezes|politecnico di milano|57202815360|2-s2.0-85049432628|2018|3|14|36|0.3704784922737695|[2024, 'doi not found or an error occurred.', 2023, 2023, 2022, 2021, 2021, 2020, 2021, 2021, 2020, 2020, 2019, 2019]
joão teixeira oliveira de|menezes|politecnico di milano|57920559600|2-s2.0-85219231263|2025|7|1|59|0.01818181818181818|[2025]
daniele|ugues|instm|6506314748|2-s2.0-105001497989|2025|7|0|67|0.0|[]
daniele|ugues|instm|6506314748|2-s2.0-85217896344|2025|7|0|30|0.0|[]
daniele|ugues|instm|6506314748|2-s2.0-105003070919|2025|8|1|336|0.030303030303030304|[2025]
daniele|ugues|instm|6506314748|2-s2.0-85218468346|2025|7|0|216|0.0|[]
daniele|ugues|instm|6506314748|2-s2.0-85192844327|2025|3|2|37|0.035072463768115944|[2024, 2024]
daniele|ugues|instm|6506314748|2-s2.0-85208262026|2024|6|2|46|0.03556231003039514|[2025, 2025]
daniele|ugues|instm|6506314748|2-s2.0-85205312162|2024|7|0|42|0.0|[]
daniele|ugues|instm|6506314748|2-s2.0-85202613550|2024|8|2|112|0.029583763329893358|[2025, 2025]
daniele|ugues|instm|6506314748|2-s2.0-85193076531|2024|5|3|58|0.07692307692307693|[2025, 2025, 2024]
daniele|ugues|instm|6506314748|2-s2.0-85191024731|2024|6|3|53|0.05938270242430931|[2025, 2025, 2025]
