Name|Surname|Institution|Author_id|Article_eid|Year|Num_aut|Num_cit|Article_refs|Num_ref_in_citing|Citing_years
gianmarco|battista|parma|57195054115|2-s2.0-85194075442|2024|7|2|37|0.038262982083206803|[2025, 2024]
gianmarco|battista|parma|57195054115|2-s2.0-85190268676|2024|11|2|72|0.034708737864077674|[2024, 2024]
gianmarco|battista|parma|57195054115|2-s2.0-85202606238|2024|4|0|37|0.0|[]
gianmarco|battista|parma|57195054115|2-s2.0-85197479616|2024|7|3|66|0.07980480480480481|[2025, 2025, 2025]
gianmarco|battista|parma|57195054115|2-s2.0-85186090398|2024|3|1|36|0.02702702702702703|[2024]
gianmarco|battista|parma|57195054115|2-s2.0-85144899463|2023|4|5|47|0.159552967761923|[2024, 2023, 2023, 2023, 2023]
gianmarco|battista|parma|57195054115|2-s2.0-85174056645|2023|7|4|19|0.10442890442890443|[2024, 2024, 2024, 2023]
gianmarco|battista|parma|57195054115|2-s2.0-85145770507|2023|4|3|33|0.09462833914053426|[2025, 2024, 2024]
gianmarco|battista|parma|57195054115|2-s2.0-85143186348|2022|5|0|30|0.0|[]
gianmarco|battista|parma|57195054115|2-s2.0-85129334962|2022|7|2|23|0.02501516070345664|[2024, 2023]
gianmarco|battista|parma|57195054115|2-s2.0-85146898007|2022|5|2|21|0.01651359943482868|[2025, 2024]
gianmarco|battista|parma|57195054115|2-s2.0-85135872282|2022|5|4|12|0.11679915209326974|[2024, 2024, 2024, 2023]
gianmarco|battista|parma|57195054115|2-s2.0-85119299060|2021|7|3|22|0.10758258258258258|[2024, 2024, 2024]
gianmarco|battista|parma|57195054115|2-s2.0-85104081885|2021|6|3|30|0.13825757575757575|[2023, 2022, 2021]
gianmarco|battista|parma|57195054115|2-s2.0-85090350660|2021|5|10|37|0.2596536935694531|[2024, 2024, 2024, 'doi not found or an error occurred.', 2023, 2023, 2022, 2022, 2021, 2021]
gianmarco|battista|parma|57195054115|2-s2.0-85122893536|2021|4|2|37|0.05887445887445887|[2025, 2023]
gianmarco|battista|parma|57195054115|2-s2.0-85079087975|2020|5|14|39|0.24421962291389632|[2025, 2024, 2024, 2023, 2023, 2023, 'doi not found or an error occurred.', 2022, 2021, 2021, 2021, 2021, 2020, 2020]
gianmarco|battista|parma|57195054115|2-s2.0-85079685392|2020|4|16|41|0.31715148008130334|[2024, 2024, 2024, 2024, 2023, 'doi not found or an error occurred.', 2023, 2023, 2022, 2022, 2021, 2021, 2021, 2021]
gianmarco|battista|parma|57195054115|2-s2.0-85068819743|2019|5|21|75|0.5653445789254041|[2025, 2024, 2024, 2024, 2023, 2023, 2023, 2022, 2022, 2021, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020]
gianmarco|battista|parma|57195054115|2-s2.0-85051141550|2018|3|17|25|0.6610317314178021|[2025, 2025, 2024, 2025, 'doi not found or an error occurred.', 2024, 2024, 2023, 2023, 2023, 2023, 2022, 2021, 2021, 2021, 2019, 2019]
gianmarco|battista|parma|57195054115|2-s2.0-85060396150|2018|4|3|32|0.09739739739739739|[2021, 2021, 2020]
gianmarco|battista|parma|57195054115|2-s2.0-85025077931|2018|4|20|20|0.09120153743315508|[2024, 2023, 'doi not found or an error occurred.', 2023]
marta|berardengo|genova|55839826700|2-s2.0-85219507335|2025|3|0|40|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85206475135|2025|5|0|71|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85200757178|2024|6|3|61|0.0375187969924812|[2025, 2024, 2024]
marta|berardengo|genova|55839826700|2-s2.0-85214419553|2024|3|0|14|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85207964878|2024|2|0|33|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85207655367|2024|5|0|11|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85204480778|2024|6|0|37|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85202574452|2024|5|1|37|0.014084507042253521|[2025]
marta|berardengo|genova|55839826700|2-s2.0-85202540056|2024|5|0|37|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85198716657|2024|5|0|12|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85198038470|2024|4|0|23|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85163857365|2023|4|12|61|0.11414810257499775|[2025, 2025, 2025, 2024, 2024, 2024]
marta|berardengo|genova|55839826700|2-s2.0-85164911942|2023|3|4|37|0.10283454185893211|[2024, 2024, 2024, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85163943751|2023|6|4|40|0.12662773687618406|[2024, 2024, 2023, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85153726157|2023|3|2|30|0.15555555555555556|[2025, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85141253742|2023|5|15|30|0.27321688379371317|[2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85147893705|2023|4|7|65|0.30525446987684307|[2025, 2024, 2024, 2024, 2024, 2023, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85191238383|2023|5|0|32|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85179754186|2023|6|1|23|0.02702702702702703|[2024]
marta|berardengo|genova|55839826700|2-s2.0-85147030612|2022|5|2|37|0.05334281650071124|[2023, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85135517821|2022|3|0|28|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85118867103|2022|5|9|57|0.21765084375116447|[2024, 2024, 2024, 2024, 2024, 2023, 2023, 'doi not found or an error occurred.', 2022]
marta|berardengo|genova|55839826700|2-s2.0-85150699021|2022|6|4|48|0.19557616296746733|[2024, 2024, 2024, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85143732240|2022|3|1|26|0.07142857142857142|[2024]
marta|berardengo|genova|55839826700|2-s2.0-85143652473|2022|6|5|17|0.19723688962819397|[2024, 2024, 2024, 2023, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85122727156|2022|5|8|57|0.27515580848104604|[2025, 2025, 2024, 2023, 2023, 2023, 2022, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85087515647|2022|4|32|53|0.5960904851801138|[2025, 2025, 2024, 2025, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2023, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85122686400|2021|3|3|20|0.12460317460317459|[2025, 2024, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85100049601|2021|4|13|45|0.21258133401658605|[2025, 2025, 2024, 2023, 2023, 2023, 2022, 2022, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85100173188|2021|4|7|31|0.15843351944855705|[2025, 2024, 2024, 2023, 2022, 2022, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85106300621|2021|7|7|63|0.18439148693678462|[2025, 2024, 2024, 2023, 2023, 2022, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85108967171|2021|3|52|39|1.5028018216754715|[2024, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 'doi not found or an error occurred.', 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85108297362|2021|3|14|42|0.5208440988914993|[2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2022, 2022, 2022, 2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85104554613|2021|5|15|30|0.5384076194495753|[2025, 2024, 2024, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85096195746|2021|4|23|72|0.17712343883118534|[2025, 2024, 2025, 2024, 2024, 2024, 2024, 2024]
marta|berardengo|genova|55839826700|2-s2.0-85123176568|2021|5|1|26|0.045454545454545456|[2024]
marta|berardengo|genova|55839826700|2-s2.0-85123174445|2021|3|1|19|0.038461538461538464|[2022]
marta|berardengo|genova|55839826700|2-s2.0-85120427933|2021|5|4|16|0.2034252297410192|[2024, 2023, 2022, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85104204467|2021|3|7|27|0.19751597721798958|[2025, 'doi not found or an error occurred.', 2024, 2023, 2023, 2022, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85080106697|2020|6|13|52|0.26011733226388467|[2024, 2024, 2024, 2024, 2024, 2022, 2023, 2023, 2022, 2021, 2021, 2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85104530142|2020|5|2|32|0.05714285714285714|[2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85068175300|2020|4|0|2|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85065988712|2020|4|1|30|0.02702702702702703|[2019]
marta|berardengo|genova|55839826700|2-s2.0-85066481503|2019|4|12|55|0.28264441975800925|[2024, 2024, 2024, 2024, 'doi not found or an error occurred.', 2023, 2023, 'doi not found or an error occurred.', 2022, 2022, 2021, 2021]
marta|berardengo|genova|55839826700|2-s2.0-85060944331|2019|4|14|40|0.11396710853138808|[2024, 2023, 2023, 2023, 2023]
marta|berardengo|genova|55839826700|2-s2.0-85050861563|2019|5|25|36|0.5886695921550098|[2025, 2024, 2024, 2024, 'doi not found or an error occurred.', 2023, 2023, 'doi not found or an error occurred.', 2011, 2023, 2021, 'doi not found or an error occurred.', 2022, 'doi not found or an error occurred.', 2021, 2021, 2021, 2020, 'doi not found or an error occurred.', 2020, 2020, 2019, 2019]
marta|berardengo|genova|55839826700|2-s2.0-85101986370|2019|4|0|32|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85101955443|2019|4|0|32|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85061392300|2019|5|0|13|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85061374817|2019|4|0|34|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85060719815|2019|5|0|11|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85047406555|2018|4|49|38|0.3979451894230571|[2025, 2025, 2024, 2025, 2025, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 'doi not found or an error occurred.', 2022, 2022, 2021, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85060810151|2018|5|3|37|0.10213464696223316|[2023, 2020, 2020]
marta|berardengo|genova|55839826700|2-s2.0-85034602293|2018|5|9|15|0.33368568709917246|[2024, 2023, 2023, 2023, 2022, 2021, 2021, 2021, 2020]
marta|berardengo|genova|55839826700|2-s2.0-85060382387|2018|4|0|32|0.0|[]
marta|berardengo|genova|55839826700|2-s2.0-85025097229|2017|4|25|36|0.7093199667854149|[2025, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2011, 2023, 2022, 2022, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2019, 2019, 2019, 2018, 2018, 2018]
marta|berardengo|genova|55839826700|2-s2.0-85021325017|2017|3|43|63|0.8889584237926875|[2024, 2024, 2024, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 'doi not found or an error occurred.', 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2019]
marta|berardengo|genova|55839826700|2-s2.0-85029672241|2017|4|29|25|0.5350303425650159|[2025, 2024, 2022, 2022, 2022, 2022, 'doi not found or an error occurred.', 2021, 2021, 2021, 2021, 2020, 'doi not found or an error occurred.', 2021, 2019, 2020, 2020, 2019, 2019, 2019, 2019, 2019]
marta|berardengo|genova|55839826700|2-s2.0-85034262403|2017|3|5|32|0.12636342415754181|[2022, 2021, 2021, 2019, 2018]
marta|berardengo|genova|55839826700|2-s2.0-85033241255|2017|5|7|43|0.26257093204709886|[2024, 2023, 2022, 2021, 2020, 2020, 2019]
marta|berardengo|genova|55839826700|2-s2.0-85026295790|2017|4|2|32|0.0992063492063492|[2020, 2019]
marta|berardengo|genova|55839826700|2-s2.0-84975256607|2016|4|88|25|0.6995855182496952|[2025, 2025, 2025, 2025, 2024, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 'doi not found or an error occurred.', 2022, 2022, 2022]
marta|berardengo|genova|55839826700|2-s2.0-85018174983|2016|4|3|32|0.05103359173126615|[2019, 2017]
