Name,Surname,Institution,Author_id,Article_eid,Year,Num_aut,Num_cit,Article_refs,Num_ref_in_citing,Citing_year
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85197469658,2024,4,5,264,0.046047214307754575,"[2024, 2024, 2025, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85202669315,2024,9,9,130,0.16437926789549467,"[2025, 2025, 2024, 2025, 2025, 2024, 2024, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85179896274,2024,7,3,55,0.05408780551095542,"[2025, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85181797935,2024,29,23,70,0.25766327572013203,"[2024, 2025, 2025, 2025, 2025, 2024, 2025, 2024, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85208640608,2024,6,0,22,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85194831233,2024,14,1,37,0.007692307692307693,[2024]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85152170507,2023,6,7,72,0.10147045740585962,"[2024, 2024, 2024, 2024, 'doi not found or an error occurred.', 2023, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85151059760,2023,8,13,75,0.14379666821487186,"[2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85178592241,2023,7,0,13,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85175814330,2023,6,0,32,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85175801109,2023,3,0,32,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85143747352,2022,4,0,5,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85122100765,2022,9,5,15,0.11843686225708698,"[2024, 2024, 2024, 2024, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85099255752,2021,5,7,38,0.21119859376438324,"[2024, 2024, 2024, 2024, 2023, 2022, 2021]"
