name|surname|institution|author_id|article_eid|year|num_aut|num_cit|article_refs|num_ref_in_citing|citing_years
damiano|alizzio|reggio calabria|57211146710|2-s2.0-105008733838|2025|7|0|37|0.0|[]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85211786175|2024|4|0|47|0.0|[]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85181531841|2023|10|0|32|0.0|[]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85164920524|2023|6|2|37|0.03483952702702703|[2024, 2023]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85159153535|2023|6|2|56|0.05405405405405406|[2025, 2023]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85173040965|2023|5|0|45|0.0|[]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85208412669|2023|7|1|37|0.058823529411764705|[2024]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85142932503|2022|14|7|37|0.1745032626611574|[2024, 2024, 2023, 2023, 2023, 2023, 2022]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85124579778|2022|6|7|37|0.1922129299429913|[2024, 2023, 2023, 2023, 2022, 2022, 2022]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85102117243|2021|8|8|32|0.20565751522273265|[2025, 2024, 2024, 2023, 2022, 2022, 2021, 2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85100506213|2021|7|23|70|0.507222149522882|[2025, 2025, 2025, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85122810612|2021|3|6|37|0.1573013814393125|[2025, 2023, 2023, 2023, 2022]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85122869171|2021|6|1|37|0.022222222222222223|[2024]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85102291357|2021|7|2|19|0.044570886676149835|[2024, 2022]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85087362632|2020|6|9|57|0.19505749866948452|[2024, 2023, 2023, 2022, 2022, 2021, 2021, 2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85088285902|2020|8|15|17|0.3832415652152495|[2025, 2024, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85097904649|2020|3|2|32|0.0391337386018237|[2023, 2022]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85097877583|2020|4|1|32|0.03125|[2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85097899096|2020|4|1|32|0.02702702702702703|[2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85123285432|2020|8|2|32|0.05827702702702703|[2021, 2021]
damiano|alizzio|reggio calabria|57211146710|2-s2.0-85072809060|2019|4|4|56|0.06967905405405406|[2022, 2021, 2020]
ludovica|apa|sapienza|57203845886|2-s2.0-105010325185|2025|3|0|53|0.0|[]
ludovica|apa|sapienza|57203845886|2-s2.0-85212878101|2025|7|2|22|0.038475767665556784|[2025, 2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85195942082|2024|7|1|56|0.009174311926605505|[2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85206875267|2024|4|1|40|0.018867924528301886|[2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85201735155|2024|7|1|26|0.00980392156862745|[2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85201153680|2024|7|1|15|0.02564102564102564|[2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85201156527|2024|8|0|17|0.0|[]
ludovica|apa|sapienza|57203845886|2-s2.0-85197767528|2024|8|2|23|0.04014452027298274|[2025, 2024]
ludovica|apa|sapienza|57203845886|2-s2.0-85211935557|2024|10|2|37|0.06432246998284734|[2025, 2025]
ludovica|apa|sapienza|57203845886|2-s2.0-85171443919|2023|8|3|46|0.06050531914893617|[2025, 2024, 2024]
ludovica|apa|sapienza|57203845886|2-s2.0-85163349344|2023|16|4|46|0.10186733556298774|[2025, 2024, 2024, 2023]
ludovica|apa|sapienza|57203845886|2-s2.0-85168878186|2023|5|0|43|0.0|[]
ludovica|apa|sapienza|57203845886|2-s2.0-85164911040|2023|6|4|37|0.07994144695491084|[2025, 2024, 2023, 2023]
